dimention,mpageid,Y-Image Dimentions,X-Image Dimentions
"(200, 133)",M70100115.jpg,133,200
"(200, 400)",M70340592.jpg,400,200
"(200, 356)",M70340593.jpg,356,200
"(200, 133)",M70345235.jpg,133,200
"(200, 131)",M70351451.jpg,131,200
"(200, 133)",M70446022.jpg,133,200
"(200, 200)",M70459180.JPG,200,200
"(200, 200)",M70512369.jpg,200,200
"(200, 267)",M70940866.jpg,267,200
"(200, 300)",M71047711.jpg,300,200
"(200, 150)",M71117388.jpg,150,200
"(200, 300)",M71205540.jpg,300,200
"(200, 300)",M71205544.jpg,300,200
"(200, 150)",M71218945.jpg,150,200
"(200, 200)",M71838893.jpg,200,200
"(200, 108)",M72423048.jpg,108,200
"(200, 300)",M72423510.jpg,300,200
"(200, 113)",M72488587.jpg,113,200
"(200, 133)",M72845677.jpg,133,200
"(200, 150)",M73040018.JPG,150,200
"(200, 133)",M73239069.jpg,133,200
"(200, 129)",M73384072.jpg,129,200
"(200, 170)",M73430876.jpg,170,200
"(200, 249)",M73448145.jpg,249,200
"(200, 133)",M73459087.jpg,133,200
"(200, 103)",M73595820.jpg,103,200
"(200, 266)",M73793800.jpg,266,200
"(200, 114)",M73793808.jpg,114,200
"(200, 267)",M73939457.jpg,267,200
"(200, 133)",M74016974.jpg,133,200
"(200, 200)",M74064007.png,200,200
"(200, 200)",M74064009.png,200,200
"(200, 200)",M74064010.png,200,200
"(200, 200)",M74064018.png,200,200
"(200, 300)",M74403823.jpg,300,200
"(200, 267)",M74420423.jpg,267,200
"(200, 133)",M74486440.jpg,133,200
"(200, 250)",M74637453.jpg,250,200
"(200, 255)",M7480958.jpg,255,200
"(200, 133)",M75087948.jpg,133,200
"(200, 300)",M75270713.jpg,300,200
"(200, 125)",M75605790.jpg,125,200
"(200, 160)",M756581.png,160,200
"(200, 133)",M75975319.jpg,133,200
"(200, 133)",M75975394.jpg,133,200
"(200, 354)",M76023768.jpg,354,200
"(200, 249)",M76106630.jpg,249,200
"(200, 267)",M76306021.jpg,267,200
"(200, 133)",M76307130.jpg,133,200
"(200, 187)",M76367592.jpg,187,200
"(200, 171)",M76424234.jpg,171,200
"(200, 267)",M76452809.jpg,267,200
"(200, 267)",M76557804.jpg,267,200
"(200, 112)",M76577451.jpg,112,200
"(200, 150)",M76682150.jpg,150,200
"(200, 134)",M76695294.jpg,134,200
"(200, 131)",M76695307.jpg,131,200
"(200, 300)",M76695315.jpg,300,200
"(200, 150)",M76720847.jpg,150,200
"(200, 133)",M76791450.jpg,133,200
"(200, 116)",M76854866.jpg,116,200
"(200, 150)",M76995001.jpg,150,200
"(200, 132)",M77011415.jpg,132,200
"(200, 132)",M77214539.jpg,132,200
"(200, 132)",M77344014.jpg,132,200
"(200, 132)",M77348159.jpg,132,200
"(200, 133)",M77359859.jpg,133,200
"(200, 133)",M77364472.jpg,133,200
"(200, 301)",M77364481.jpg,301,200
"(200, 149)",M7750107.jpg,149,200
"(200, 293)",M77603412.jpg,293,200
"(200, 133)",M77666670.jpg,133,200
"(200, 133)",M77716584.jpg,133,200
"(200, 150)",M77740868.jpg,150,200
"(200, 143)",M77846308.JPG,143,200
"(200, 133)",M77943017.jpg,133,200
"(200, 301)",M77948174.jpg,301,200
"(200, 137)",M78073663.jpg,137,200
"(200, 181)",M7823406.jpg,181,200
"(200, 771)",M78237053.jpg,771,200
"(200, 267)",M78256930.jpg,267,200
"(200, 150)",M78874959.jpg,150,200
"(200, 150)",M78945116.jpg,150,200
"(200, 150)",M78958278.jpg,150,200
"(200, 150)",M79052693.jpg,150,200
"(200, 112)",M79071759.jpg,112,200
"(200, 133)",M79079940.jpg,133,200
"(200, 133)",M79125914.jpg,133,200
"(200, 254)",M79145908.jpg,254,200
"(200, 267)",M79228750.jpg,267,200
"(200, 133)",M79269299.jpg,133,200
"(200, 200)",M79354968.png,200,200
"(200, 300)",M79435141.jpg,300,200
"(200, 133)",M79480227.jpg,133,200
"(200, 150)",M79491974.jpg,150,200
"(200, 150)",M79491975.jpg,150,200
"(200, 267)",M79602255.jpg,267,200
"(200, 133)",M79681686.jpg,133,200
"(200, 133)",M79681780.jpg,133,200
"(200, 248)",M79690278.jpeg,248,200
"(200, 173)",M79691944.jpeg,173,200
"(200, 162)",M79695478.jpeg,162,200
"(200, 265)",M79696721.jpeg,265,200
"(200, 243)",M79696748.jpeg,243,200
"(200, 200)",M79726615.jpg,200,200
"(200, 134)",M79756397.jpg,134,200
"(200, 267)",M79773115.jpg,267,200
"(200, 150)",M79806107.jpg,150,200
"(200, 267)",M79891417.jpg,267,200
"(200, 267)",M79912251.jpg,267,200
"(200, 133)",M79962780.jpg,133,200
"(200, 133)",M80038656.jpg,133,200
"(200, 182)",M80045224.jpg,182,200
"(200, 251)",M80140001.jpg,251,200
"(200, 112)",M80210189.jpg,112,200
"(199, 104)",M8026834.JPG,104,199
"(200, 150)",M80342653.jpg,150,200
"(200, 150)",M80342654.jpg,150,200
"(200, 149)",M80343970.jpg,149,200
"(200, 133)",M80355968.jpg,133,200
"(200, 356)",M80507811.jpg,356,200
"(200, 332)",M80611330.jpg,332,200
"(200, 150)",M80632799.jpg,150,200
"(200, 150)",M80646213.jpg,150,200
"(200, 110)",M80654820.png,110,200
"(200, 133)",M80694116.jpg,133,200
"(200, 134)",M80730735.jpg,134,200
"(200, 126)",M80761929.jpg,126,200
"(200, 77)",M80901655.jpg,77,200
"(200, 124)",M80954075.jpg,124,200
"(200, 148)",M80978474.png,148,200
