object name,mpageid,has on the left,has on the right,has on the top,has on the bottom,has in the center
car,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M10613082,,,http://www.wikidata.org/entity/Q1420,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,,http://www.wikidata.org/entity/Q5,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613087,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10613092,http://www.wikidata.org/entity/Q5,,,,
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10620828,,,,,http://www.wikidata.org/entity/Q5113
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10620828,,,,,http://www.wikidata.org/entity/Q5113
airplane,http://commons.wikimedia.org/wiki/Special:EntityData/M10622812,,,,,http://www.wikidata.org/entity/Q197
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10646517,,,,,http://www.wikidata.org/entity/Q870
clock,http://commons.wikimedia.org/wiki/Special:EntityData/M10651155,,,,,http://www.wikidata.org/entity/Q376
cup,http://commons.wikimedia.org/wiki/Special:EntityData/M10651155,,,,,http://www.wikidata.org/entity/Q81727
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10655341,,,,,http://www.wikidata.org/entity/Q146
dining,http://commons.wikimedia.org/wiki/Special:EntityData/M10655341,,,,,http://www.wikidata.org/entity/Q10578291
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,,,http://www.wikidata.org/entity/Q5,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,,,,http://www.wikidata.org/entity/Q43193
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10656648,,,,http://www.wikidata.org/entity/Q5,
